"year","county","fips","total_population"
2000,"Alamance",37001,262984
2000,"Alexander",37003,67470
2000,"Alleghany",37005,21340
2000,"Anson",37007,50646
2000,"Ashe",37009,48920
2000,"Avery",37011,34596
2000,"Beaufort",37013,89810
2000,"Bertie",37015,39464
2000,"Bladen",37017,64594
2000,"Brunswick",37019,147464
2000,"Buncombe",37021,414484
2000,"Burke",37023,178766
2000,"Cabarrus",37025,264468
2000,"Caldwell",37027,156048
2000,"Camden",37029,13848
2000,"Carteret",37031,118772
2000,"Caswell",37033,47044
2000,"Catawba",37035,284886
2000,"Chatham",37037,99624
2000,"Cherokee",37039,48646
2000,"Chowan",37041,28894
2000,"Clay",37043,17594
2000,"Cleveland",37045,192788
2000,"Columbus",37047,109550
2000,"Craven",37049,183708
2000,"Cumberland",37051,607176
2000,"Currituck",37053,36580
2000,"Dare",37055,60340
2000,"Davidson",37057,295368
2000,"Davie",37059,70066
2000,"Duplin",37061,98510
2000,"Durham",37063,449144
2000,"Edgecombe",37065,110934
2000,"Forsyth",37067,614016
2000,"Franklin",37069,95272
2000,"Gaston",37071,381494
2000,"Gates",37073,21012
2000,"Graham",37075,15952
2000,"Granville",37077,97816
2000,"Greene",37079,37956
2000,"Guilford",37081,844918
2000,"Halifax",37083,114610
2000,"Harnett",37085,182946
2000,"Haywood",37087,108224
2000,"Henderson",37089,179274
2000,"Hertford",37091,45182
2000,"Hoke",37093,67858
2000,"Hyde",37095,11652
2000,"Iredell",37097,247186
2000,"Jackson",37099,66550
2000,"Johnston",37101,246530
2000,"Jones",37103,20540
2000,"Lee",37105,98790
2000,"Lenoir",37107,119146
2000,"Lincoln",37109,128328
2000,"Macon",37113,59892
2000,"Madison",37115,39316
2000,"Martin",37117,51028
2000,"McDowell",37111,84508
2000,"Mecklenburg",37119,1402122
2000,"Mitchell",37121,31356
2000,"Montgomery",37123,53790
2000,"Moore",37125,150382
2000,"Nash",37127,175356
2000,"New Hanover",37129,321888
2000,"Northampton",37131,44040
2000,"Onslow",37133,300952
2000,"Orange",37135,232212
2000,"Pamlico",37137,25788
2000,"Pasquotank",37139,69764
2000,"Pender",37141,82412
2000,"Perquimans",37143,22802
2000,"Person",37145,71436
2000,"Pitt",37147,268642
2000,"Polk",37149,36724
2000,"Randolph",37151,262008
2000,"Richmond",37153,93152
2000,"Robeson",37155,246678
2000,"Rockingham",37157,184234
2000,"Rowan",37159,261294
2000,"Rutherford",37161,126130
2000,"Sampson",37163,120500
2000,"Scotland",37165,71888
2000,"Stanly",37167,116456
2000,"State",37000,16163972
2000,"Stokes",37169,89470
2000,"Surry",37171,142560
2000,"Swain",37173,26074
2000,"Transylvania",37175,58766
2000,"Tyrrell",37177,8230
2000,"Union",37179,251218
2000,"Vance",37181,86310
2000,"Wake",37183,1266666
2000,"Warren",37185,39800
2000,"Washington",37187,27336
2000,"Watauga",37189,85772
2000,"Wayne",37191,227312
2000,"Wilkes",37193,131634
2000,"Wilson",37195,147894
2000,"Yadkin",37197,72936
2000,"Yancey",37199,35466
2001,"Alamance",37001,267618
2001,"Alexander",37003,67908
2001,"Alleghany",37005,21450
2001,"Anson",37007,51050
2001,"Ashe",37009,49678
2001,"Avery",37011,35314
2001,"Beaufort",37013,90394
2001,"Bertie",37015,39734
2001,"Bladen",37017,65094
2001,"Brunswick",37019,152836
2001,"Buncombe",37021,418172
2001,"Burke",37023,178604
2001,"Cabarrus",37025,272780
2001,"Caldwell",37027,156760
2001,"Camden",37029,14098
2001,"Carteret",37031,119388
2001,"Caswell",37033,47382
2001,"Catawba",37035,290000
